sku,Warehouse1,Warehouse2,Warehouse3,Warehouse4,Warehouse5,Warehouse6,Warehouse7,Warehouse8
100341,0,0,0,0,0,0,0,0
100343,0,0,0,0,0,0,0,0
100345,0,0,0,0,0,0,0,0
100346,0,0,0,0,0,0,0,0
100348,0,0,0,0,0,0,0,0
100350,0,0,0,0,0,0,0,0
100352,0,0,0,0,0,0,0,0
100357,0,0,0,0,0,0,0,0
100358,0,0,0,0,0,0,0,0
100359,0,0,0,0,0,0,0,0
100360,0,0,0,0,0,0,0,0
100361,0,0,0,0,0,0,0,0
100362,0,0,0,0,0,0,0,0
100363,0,0,0,0,0,0,0,0
100364,0,0,0,0,0,0,0,0
100366,0,0,0,0,0,0,0,0
100369,0,0,0,0,0,0,0,0
100371,0,0,0,0,0,0,0,0
100372,0,0,0,0,0,0,0,0
100373,0,0,0,0,0,0,0,0
100374,0,0,0,0,0,0,0,0
100381,0,0,0,0,0,0,0,0
100382,0,0,0,0,0,0,0,0
100384,0,0,0,0,0,0,0,0
100385,0,0,0,0,0,0,0,0
100386,0,0,0,0,0,0,0,0
100390,0,0,0,0,0,0,0,0
100393,0,0,0,0,0,0,0,0
100395,0,0,0,0,0,0,0,0
100396,0,0,0,0,0,0,0,0
100398,0,0,0,0,0,0,0,0
100403,0,0,0,0,0,0,0,0
100404,0,0,0,0,0,0,0,0
100407,0,0,0,0,0,0,0,0
100408,0,0,0,0,0,0,0,0
100409,0,0,0,0,0,0,0,0
100410,0,0,0,0,0,0,0,0
100412,0,0,0,0,0,0,0,0
100416,0,0,0,0,0,0,0,0
100417,0,0,0,0,0,0,0,0
100418,0,0,0,0,0,0,0,0
100420,0,0,0,0,0,0,0,0
100423,0,0,0,0,0,0,0,0
100424,0,0,0,0,0,0,0,0
100427,0,0,0,0,0,0,0,0
100429,0,0,0,0,0,0,0,0
100432,0,0,0,0,0,0,0,0
100435,0,0,0,0,0,0,0,0
100439,0,0,0,0,0,0,0,0
100441,0,0,0,0,0,0,0,0
100442,0,0,0,0,0,0,0,0
100444,0,0,0,0,0,0,0,0
100445,0,0,0,0,0,0,0,0
100446,0,0,0,0,0,0,0,0
100447,0,0,0,0,0,0,0,0
100448,48,48,48,48,48,48,48,48
100449,0,0,0,0,0,0,0,0
100450,0,0,0,0,0,0,0,0
100451,0,0,0,0,0,0,0,0
100453,0,0,0,0,0,0,0,0
100454,0,0,0,0,0,0,0,0
100455,0,0,0,0,0,0,0,0
100457,0,0,0,0,0,0,0,0
100459,0,0,0,0,0,0,0,0
100460,0,0,0,0,0,0,0,0
100461,0,0,0,0,0,0,0,0
100463,0,0,0,0,0,0,0,0
100464,0,0,0,0,0,0,0,0
100466,0,0,0,0,0,0,0,0
100467,0,0,0,0,0,0,0,0
100468,0,0,0,0,0,0,0,0
100471,0,0,0,0,0,0,0,0
100472,0,0,0,0,0,0,0,0
100473,0,0,0,0,0,0,0,0
100474,0,0,0,0,0,0,0,0
100476,0,0,0,0,0,0,0,0
100477,0,0,0,0,0,0,0,0
100479,0,0,0,0,0,0,0,0
100480,0,0,0,0,0,0,0,0
100483,0,0,0,0,0,0,0,0
100485,0,0,0,0,0,0,0,0
100487,0,0,0,0,0,0,0,0
100488,0,0,0,0,0,0,0,0
100489,0,0,0,0,0,0,0,0
100490,0,0,0,0,0,0,0,0
100492,0,0,0,0,0,0,0,0
100493,0,0,48,0,0,0,0,0
100494,0,0,0,0,0,0,0,0
100495,0,0,0,0,0,0,0,0
100496,0,0,0,0,0,0,0,0
100500,0,0,0,0,0,0,0,0
100501,0,0,0,0,0,0,0,0
100503,0,0,0,0,0,0,0,0
100505,0,0,0,0,0,0,0,0
100507,0,0,0,0,0,0,0,0
100508,0,0,0,0,0,0,0,0
100509,0,0,0,0,0,0,0,0
100513,0,0,0,0,0,0,0,0
100519,0,0,0,0,0,0,0,0
100523,0,0,0,0,0,0,0,0
100525,0,0,0,0,0,0,0,0
100527,0,0,0,0,0,0,0,0
100528,0,0,0,0,0,0,0,0
100531,0,0,0,0,0,0,0,0
100532,0,0,0,0,0,0,0,0
100534,0,0,0,0,0,0,0,0
100535,0,0,0,0,0,0,0,0
100536,0,0,0,0,0,0,0,0
100537,0,0,0,0,0,0,0,0
100539,0,0,0,0,0,0,0,0
100540,0,0,0,0,0,0,0,0
100541,0,0,0,0,0,0,0,0
100542,0,0,0,0,0,0,0,0
100544,0,0,0,0,0,0,0,0
100545,0,0,0,0,0,0,0,0
100547,0,0,0,0,0,0,0,0
100548,0,0,0,0,0,0,0,0
100552,0,0,0,0,0,0,0,0
100553,0,0,0,0,0,0,0,0
100554,0,0,0,0,0,0,0,0
100556,0,0,0,0,0,0,0,0
100557,0,0,0,0,0,0,0,0
100558,0,0,0,0,0,0,0,0
100559,0,0,0,0,0,0,0,0
100561,0,0,0,0,0,0,0,0
100562,0,0,0,0,0,0,0,0
100563,0,0,0,0,0,0,0,0
100564,0,0,0,0,0,0,0,0
100565,0,0,0,0,0,0,0,0
100567,0,0,0,0,0,0,0,0
100569,0,0,0,0,0,0,0,0
100572,0,0,0,0,0,0,0,0
100574,0,0,0,0,0,0,0,0
100577,0,0,0,0,0,0,0,0
100579,0,0,0,0,0,0,0,0
100580,0,0,0,0,0,0,0,0
100583,0,0,0,0,0,0,0,0
100584,0,0,0,0,0,0,0,0
100585,0,0,0,0,0,0,0,0
100586,0,0,0,0,0,0,0,0
100587,0,0,0,0,0,0,0,0
100588,0,0,0,0,0,0,0,0
100589,0,0,0,0,0,0,0,0
100590,0,0,0,0,0,0,0,0
100591,0,0,0,0,0,0,0,0
100592,0,0,0,0,0,0,0,0
100593,0,0,0,0,0,0,0,0
100594,0,0,0,0,0,0,0,0
100595,0,0,0,0,0,0,0,0
100596,0,0,0,0,0,0,0,0
100597,0,0,0,0,0,0,0,0
100598,0,0,0,0,0,0,0,0
100599,0,0,0,0,0,0,0,0
100600,0,0,0,0,0,0,0,0
100601,0,0,0,0,0,0,0,0
100602,0,0,0,0,0,0,0,0
100603,0,0,0,0,0,0,0,0
100604,0,0,0,0,0,0,0,0
100605,0,0,0,0,0,0,0,0
100606,0,0,0,0,0,0,0,0
100607,0,0,0,0,0,0,0,0
100608,0,0,0,0,0,0,0,0
100609,0,0,0,0,0,0,0,0
100610,0,0,0,0,0,0,0,0
100611,0,0,0,0,0,0,0,0
100613,0,0,0,0,0,0,0,0
100616,0,0,0,0,0,0,0,0
